"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 18 20:23:18 CST 2020","Sat Jul 18 20:23:22 CST 2020","3820","","test","","","","test","创建点检计划"
"passed","Sun Jul 19 16:20:02 CST 2020","Sun Jul 19 16:20:24 CST 2020","21944","","test","","","","新建事件","
    事件引擎测试用例
    新建事件
    :param login:
    :return:
    "
